lambda,r
542.3989258,822
542.5578613,832
542.7167969,861
542.8757324,722
543.034668,786
543.1936035,641
543.3525391,840
543.5114136,826
543.6703491,799
543.8292236,757
543.9880981,758
544.1469727,768
544.3058472,825
544.4647217,565
544.6235962,760
544.7824097,737
544.9412842,820
545.1000977,720
545.2589111,902
545.4177246,782
545.5765381,612
545.7353516,716
545.894165,704
546.0529175,749
546.211731,789
546.3704834,988
546.5292358,926
546.6879883,776
546.8467407,738
547.0054932,816
547.1641846,842
547.322937,785
547.4816284,836
547.6403809,947
547.7990723,908
547.9577637,619
548.1164551,772
548.2751465,908
548.4337769,873
548.5924683,720
548.7510986,879
548.909729,890
549.0684204,876
549.2270508,750
549.3856201,770
549.5442505,821
549.7028809,817
549.8614502,832
550.0200806,855
550.1786499,869
550.3372192,854
550.4957886,730
550.6543579,738
550.8129272,775
550.9714355,668
551.1300049,793
551.2885132,749
551.4470215,795
551.6055298,731
551.7640381,768
551.9225464,702
552.0810547,788
552.239563,919
552.3980103,735
552.5564575,740
552.7149658,729
552.8734131,820
553.0318604,637
553.1902466,759
553.3486938,886
553.5071411,678
553.6655273,868
553.8239746,934
553.9823608,693
554.1407471,799
554.2991333,701
554.4575195,778
554.6158447,835
554.774231,838
554.9325562,731
555.0908813,814
555.2492676,737
555.4075928,661
555.565918,831
555.7241821,875
555.8825073,809
556.0408325,720
556.1990967,714
556.3573608,707
556.515625,617
556.6738892,846
556.8321533,718
556.9904175,663
557.1486816,747
557.3068848,672
557.4651489,827
557.6233521,835
557.7815552,727
557.9397583,679
558.0979614,648
558.2561646,695
558.4143066,713
558.5725098,781
558.7306519,751
558.8887939,842
559.046936,765
559.2050781,814
559.3632202,616
559.5213623,703
559.6794434,809
559.8375854,930
559.9956665,805
560.1537476,812
560.3118896,785
560.4699097,830
560.6279907,777
560.7860718,782
560.9441528,740
561.1021729,808
561.2601929,719
561.4182129,756
561.5762329,695
561.7342529,864
561.8922729,982
562.050293,809
562.208252,732
562.366272,703
562.524231,664
562.6821899,817
562.8401489,870
562.9981079,866
563.1560669,751
563.3139648,790
563.4719238,778
563.6298218,773
563.7877808,923
563.9456787,803
564.1035767,713
564.2614136,755
564.4193115,722
564.5772095,841
564.7350464,733
564.8929443,704
565.0507813,751
565.2086182,691
565.3664551,890
565.524292,630
565.6820679,832
565.8399048,681
565.9976807,681
566.1555176,993
566.3132935,633
566.4710693,774
566.6288452,718
566.7866211,752
566.9443359,828
567.1021118,874
567.2598267,881
567.4175415,689
567.5753174,808
567.7330322,856
567.890686,685
568.0484009,732
568.2061157,742
568.3637695,818
568.5214844,702
568.6791382,782
568.836792,706
568.9944458,833
569.1520996,723
569.3096924,767
569.4673462,799
569.625,853
569.7825928,684
569.9401855,731
570.0977783,723
570.2553711,793
570.4129639,682
570.5704956,716
570.7280884,697
570.8856201,845
571.0432129,766
571.2007446,789
571.3582764,720
571.5158081,816
571.6733398,630
571.8308105,779
571.9883423,842
572.145813,780
572.3032837,852
572.4607544,659
572.6182251,781
572.7756958,717
572.9331665,742
573.0906372,790
573.2480469,899
573.4054565,828
573.5629272,850
573.7203369,757
573.8777466,697
574.0350952,759
574.1925049,844
574.3499146,755
574.5072632,858
574.6646118,892
574.8219604,733
574.9793091,738
575.1366577,851
575.2940063,759
575.451355,726
575.6086426,930
575.7659912,775
575.9232788,769
576.0805664,745
576.237854,921
576.3951416,853
576.5523682,687
576.7096558,838
576.8669434,678
577.0241699,784
577.1813965,1286
577.338623,753
577.4958496,737
577.6530762,669
577.8103027,794
577.9674683,721
578.1246338,704
578.2818604,754
578.4390259,900
578.5961914,827
578.7533569,906
578.9105225,772
579.067627,757
579.2247925,784
579.381897,799
579.5390015,843
579.696106,1050
579.8532104,836
580.0103149,782
580.1674194,815
580.3244629,951
