lambda,b
579.696106,954
579.8532104,764
580.0103149,694
580.1674194,747
580.3244629,831
580.4815674,653
580.6386108,582
580.7956543,673
580.9526978,761
581.1097412,757
581.2667847,660
581.4238281,783
581.5808105,622
581.737854,678
581.8948364,726
582.0518188,688
582.2088013,581
582.3657837,861
582.5227661,815
582.6796875,667
582.8366699,818
582.9935913,774
583.1505127,710
583.3074341,731
583.4643555,805
583.6212769,737
583.7781982,759
583.9350586,819
584.09198,689
584.2488403,682
584.4057007,708
584.562561,607
584.7194214,733
584.8762817,678
585.0330811,839
585.1899414,778
585.3467407,693
585.50354,778
585.6604004,607
585.8171387,579
585.973938,619
586.1307373,594
586.2875366,787
586.4442749,613
586.6010132,625
586.7577515,589
586.9144897,671
587.071228,711
587.2279663,772
587.3847046,626
587.5413818,676
587.6981201,681
587.8547974,763
588.0114746,678
588.1681519,859
588.3248291,662
588.4815063,664
588.6381226,735
588.7947998,659
588.951416,673
589.1080322,765
589.2646484,650
589.4212646,673
589.5778809,557
589.734436,720
589.8910522,774
590.0476074,715
590.2042236,634
590.3607788,670
590.517334,690
590.6738892,665
590.8303833,645
590.9869385,795
591.1434326,649
591.2999878,697
591.4564819,642
591.6129761,606
591.7694702,673
591.9259644,638
592.0823975,804
592.2388916,657
592.3953247,653
592.5517578,758
592.708252,685
592.8646851,748
593.0210571,956
593.1774902,674
593.3339233,699
593.4902954,810
593.6467285,598
593.8031006,660
593.9594727,773
594.1158447,703
594.2721558,719
594.4285278,865
594.5848999,720
594.7412109,624
594.897522,809
595.053833,659
595.210144,660
595.3664551,708
595.5227661,802
595.6790771,800
